id,directors,rate,title,casts,year,types,country,lang,time,movieTime,commentLen,star
90,"帕斯卡尔·沙吕,阿诺德·德洛德,杰罗姆·科姆",9.0,英雄联盟：双城之战 第一季,"艾拉·珀内尔,海莉·斯坦菲尔德,凯文·阿历詹卓,杰森·斯皮萨克,梁佩诗",2021,"动作,科幻,动画,冒险","美国,法国",英语,2021-11-07,68,204598,"59.8%,32.1%,7.0%,0.9%,0.2%"
91,大卫·叶茨,9.0,哈利·波特与死亡圣器(下),"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,海伦娜·伯翰·卡特,拉尔夫·费因斯",2011,"奇幻,冒险","美国,英国",英语,2011-08-04,130,899588,"59.7%,31.4%,8.1%,0.6%,0.2%"
92,肖恩·利维,6.9,死侍与金刚狼,"瑞安·雷诺兹,休·杰克曼,艾玛·科林,马修·麦克费登,达芙妮·基恩",2024,"喜剧,动作,科幻",美国,"英语,法语,西班牙语",2024-07-26,127,234734,"14.2%,34.0%,39.2%,9.9%,2.7%"
93,"唐·霍尔,克里斯·威廉姆斯",8.8,超能陆战队,"斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,T·J·米勒,郑智麟",2014,"喜剧,动作,科幻,动画,冒险",美国,英语,2015-02-28,102,1084574,"49.1%,40.4%,9.9%,0.6%,0.1%"
94,刘栋,5.7,好团圆,"白百何,李纯,王玉雯,陈赫,于谨维",2024,剧情,中国大陆,汉语普通话,2024-10-26,86,11732,"4.6%,18.5%,45.6%,20.6%,10.7%"
95,陈思诚,6.6,唐人街探案2,"王宝强,刘昊然,肖央,刘承羽,尚语贤",2018,"喜剧,动作,悬疑",中国大陆,"汉语普通话,英语,日语,粤语",2018-02-16,121,933806,"8.4%,31.3%,45.0%,11.8%,3.6%"
96,托德·菲利普斯,6.1,小丑2：双重妄想,"华金·菲尼克斯,Lady Gaga,布莱丹·格里森,凯瑟琳·基纳,莎姬·贝兹",2024,"剧情,惊悚,歌舞,犯罪","美国,加拿大",英语,2024-10-16,138,69404,"8.9%,23.4%,38.5%,22.7%,6.5%"
97,"陈凯歌,张一白,管虎,薛晓路,徐峥,宁浩,文牧野",7.6,我和我的祖国,"黄渤,张译,韩昊霖,杜江,葛优",2019,剧情,中国大陆,汉语普通话,2019-09-30,155,1041992,"20.6%,44.7%,29.6%,4.0%,1.2%"
98,贾玲,7.6,热辣滚烫,"贾玲,雷佳音,张小斐,杨紫,沙溢",2024,"剧情,喜剧",中国大陆,汉语普通话,2024-02-10,129,845739,"29.2%,34.4%,26.1%,6.6%,3.7%"
99,申奥,6.9,孤注一掷,"张艺兴,金晨,咏梅,王传君,王大陆",2023,"剧情,犯罪",中国大陆,汉语普通话,2023-08-08,130,696958,"11.2%,34.5%,43.1%,8.6%,2.6%"
100,"克雷格·卓贝,凯文·布瑞,海伦·谢费,詹妮弗·盖辛格",8.8,企鹅人,"科林·法瑞尔,莱齐·费利兹,克里斯汀·米利欧缇,克兰西·布朗,索瑞·安达斯鲁",2024,"剧情,犯罪",美国,英语,2024-09-19,86,12579,"53.2%,34.7%,9.6%,1.5%,0.8%"
101,韩寒,6.8,飞驰人生,"沈腾,黄景瑜,尹正,张本煜,尹昉",2019,喜剧,中国大陆,"汉语普通话,英语",2019-02-05,98,983669,"11.1%,34.4%,41.7%,10.6%,2.3%"
102,乌尔善,7.8,封神第一部：朝歌风云,"费翔,李雪健,黄渤,于适,陈牧驰",2023,"动作,战争,奇幻,古装",中国大陆,汉语普通话,2023-07-20,148,1198923,"27.6%,41.8%,24.0%,4.7%,1.9%"
103,韩寒,7.6,飞驰人生2,"沈腾,范丞丞,尹正,张本煜,孙艺洲",2024,"剧情,喜剧,运动",中国大陆,汉语普通话,2024-02-10,121,706930,"22.3%,43.5%,28.2%,4.2%,1.7%"
104,李安,9.1,少年派的奇幻漂流,"苏拉·沙玛,伊尔凡·可汗,拉菲·斯波,阿迪勒·侯赛因,塔布",2012,"剧情,奇幻,冒险","美国,中国台湾,英国,加拿大","英语,泰米尔语,法语,日语,印地语,汉语普通话",2012-11-22,127,1422708,"61.6%,31.3%,6.4%,0.4%,0.2%"
105,宫崎骏,9.2,天空之城,"田中真弓,横泽启子,初井言荣,寺田农,常田富士男",1986,"动画,奇幻,冒险",日本,日语,1992-05-01,125,949661,"64.9%,29.4%,5.3%,0.3%,0.1%"
106,"崔睿,刘翔",6.2,消失的她,"朱一龙,倪妮,文咏珊,杜江,黄子琪",2022,"悬疑,犯罪",中国大陆,汉语普通话,2023-06-22,121,947527,"7.4%,24.9%,44.0%,16.7%,7.0%"
107,史蒂文·斯皮尔伯格,9.1,猫鼠游戏,"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯,马丁·辛,艾米·亚当斯",2002,"剧情,传记,犯罪","美国,加拿大","英语,法语",2003-04-11,141,1121613,"61.4%,33.3%,5.0%,0.2%,0.1%"
108,"刘伟强,麦兆辉",9.3,无间道,"刘德华,梁朝伟,黄秋生,曾志伟,陈慧琳",2002,"剧情,惊悚,犯罪",中国香港,粤语,2003-09-05,101,1468137,"69.5%,26.5%,3.8%,0.2%,0.1%"
109,岩井俊二,8.9,情书,"中山美穗,丰川悦司,酒井美纪,柏原崇,范文雀",1995,"剧情,爱情",日本,日语,,117,1207884,"56.7%,32.8%,9.2%,0.9%,0.3%"
110,"伊峥,钱敬午",8.1,苍兰诀,"虞书欣,王鹤棣,徐海乔,郭晓婷,张凌赫",2022,"奇幻,古装",中国大陆,汉语普通话,2022-08-07,73,775960,"41.8%,33.7%,17.4%,3.5%,3.5%"
111,费德·阿尔瓦雷兹,7.4,异形：夺命舰,"卡莉·史派妮,戴维·荣松,阿奇·雷诺,伊莎贝拉·莫塞德,斯派克·费恩",2024,"科幻,惊悚,恐怖","美国,英国",英语,2024-08-16,119,313671,"14.7%,46.7%,33.4%,4.2%,1.0%"
112,周星驰,6.7,美人鱼,"邓超,罗志祥,张雨绮,林允,徐克",2016,"喜剧,爱情,奇幻","中国大陆,中国香港","汉语普通话,英语,日语",2016-02-08,93,853586,"12.6%,28.8%,43.0%,11.9%,3.7%"
113,柯汶利,6.0,默杀,"王传君,张钧甯,吴镇宇,王圣迪,蔡明",2024,"剧情,悬疑,犯罪",中国大陆,汉语普通话,2024-07-03,119,247558,"5.6%,20.3%,47.1%,20.5%,6.5%"
114,奥里奥尔·保罗,8.8,看不见的客人,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多,巴巴拉·莱涅,弗兰塞斯克·奥雷利亚",2016,"剧情,悬疑,惊悚,犯罪",西班牙,西班牙语,2017-09-15,106,1363889,"48.7%,41.6%,9.1%,0.5%,0.1%"
115,罗伯托·贝尼尼,9.5,美丽人生,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",1997,"剧情,喜剧,爱情,战争",意大利,"意大利语,德语,英语",2020-01-03,116,1404720,"80.3%,17.0%,2.3%,0.2%,0.2%"
116,娜丁·拉巴基,9.1,何以为家,"赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔,卡萨尔·艾尔·哈达德,法迪·尤瑟夫",2018,剧情,"黎巴嫩,美国,法国,塞浦路斯,卡塔尔,英国","阿拉伯语,阿姆哈拉语",2019-04-29,126,1110565,"60.2%,33.8%,5.4%,0.4%,0.2%"
117,"宁浩,徐磊",5.5,爆款好人,"葛优,李雪琴,杨皓宇,桑平,刘敏涛",2024,"剧情,喜剧",中国大陆,汉语普通话,2024-10-01,113,31282,"6.5%,13.7%,41.4%,27.5%,10.9%"
118,刘国彤,7.3,底线,"靳东,成毅,蔡文静,王秀竹,曾梦雪",2022,"剧情,犯罪",中国大陆,汉语普通话,2022-09-19,87,177338,"22.3%,38.5%,28.3%,4.7%,6.1%"
119,董越,6.3,戴假发的人,"黄晓明,王影璐,李丛喜,黄璐,陈传凯",2024,"剧情,悬疑,犯罪",中国大陆,汉语普通话,2024-11-16,121,4051,"11.2%,30.1%,31.0%,20.1%,7.7%"
120,,8.3,守护解放西5,,2024,纪录片,中国大陆,汉语普通话,2024-09-13,74,6920,"36.6%,43.9%,18.0%,1.3%,0.3%"
121,奉俊昊,8.8,寄生虫,"宋康昊,李善均,曹汝贞,崔宇植,朴素丹",2019,剧情,韩国,"韩语,英语",2019-05-21,132,1464767,"50.0%,41.2%,7.9%,0.6%,0.3%"
122,何小疯,8.0,伍六七之记忆碎片,"何小疯,姜广涛,段艺璇,宝木中阳,米立",2024,"喜剧,动作,动画,奇幻,冒险,武侠",中国大陆,汉语普通话,2024-10-02,93,10400,"34.9%,37.2%,20.6%,4.6%,2.6%"
123,"周星驰,李力持",8.8,喜剧之王,"周星驰,张柏芝,莫文蔚,吴孟达,林子善",1999,"剧情,喜剧,爱情",中国香港,粤语,1999-02-13,89,1032346,"52.1%,38.1%,9.1%,0.6%,0.1%"
124,张艺谋,7.0,满江红,"沈腾,易烊千玺,张译,雷佳音,岳云鹏",2023,"剧情,喜剧,悬疑,古装",中国大陆,"汉语普通话,中国手语",2023-01-22,159,1108211,"16.8%,35.7%,32.7%,9.1%,5.6%"
125,"罗杰·阿勒斯,罗伯·明可夫",9.1,狮子王,"乔纳森·泰勒·托马斯,马修·布罗德里克,杰瑞米·艾恩斯,詹姆斯·厄尔·琼斯,莫伊拉·凯利",1994,"动画,歌舞,冒险",美国,"英语,斯瓦希里语,科萨语,祖鲁语",1995-07-15,89,905767,"61.5%,31.9%,6.2%,0.3%,0.1%"
126,"刘国楠,赵立军",6.0,与君歌,"成毅,张予曦,韩栋,宣璐,何晟铭",2021,"爱情,悬疑,古装",中国大陆,汉语普通话,2021-08-08,95,138295,"30.9%,8.8%,16.4%,19.7%,24.2%"
127,陈思诚,6.0,解密,"刘昊然,约翰·库萨克,陈道明,吴彦祖,俞飞鸿",2024,"剧情,历史",中国大陆,"汉语普通话,英语",2024-08-03,156,131690,"7.9%,21.7%,41.0%,20.3%,9.1%"
128,算,7.9,边水往事,"郭麒麟,吴镇宇,尤勇智,王迅,齐溪",2024,"剧情,冒险",中国大陆,汉语普通话,2024-08-16,90,245411,"25.9%,48.9%,21.9%,2.5%,0.8%"
129,马丁·布莱斯特,9.1,闻香识女人,"阿尔·帕西诺,克里斯·奥唐纳,詹姆斯·瑞布霍恩,加布里埃尔·安瓦尔,菲利普·塞默·霍夫曼",1992,剧情,美国,英语,1992-12-23,157,959469,"63.2%,30.1%,6.1%,0.5%,0.1%"
130,阿兰·葛斯彭纳,9.3,海蒂和爷爷,"阿努克·斯特芬,布鲁诺·冈茨,昆林·艾格匹,安娜·申茨,伊莎贝尔·奥特曼",2015,"剧情,家庭,冒险","德国,瑞士","南非语,德语,瑞士德语",2019-05-16,111,700672,"69.8%,25.4%,4.4%,0.3%,0.1%"
131,史蒂文·斯皮尔伯格,8.6,头号玩家,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森,马克·里朗斯,丽娜·维特",2018,"动作,科幻,冒险",美国,"英语,日语,汉语普通话",2018-03-30,140,1444379,"48.2%,38.0%,12.1%,1.3%,0.4%"
132,王伟,8.9,白夜追凶,"潘粤明,王龙正,梁缘,吕晓霖,尹姝贻",2017,"剧情,悬疑,犯罪",中国大陆,汉语普通话,2017-08-30,98,658853,"57.4%,33.3%,8.1%,0.9%,0.3%"
133,史蒂文·斯皮尔伯格,9.5,辛德勒的名单,"连姆·尼森,本·金斯利,拉尔夫·费因斯,卡罗琳·古多尔,乔纳森·萨加尔",1993,"剧情,历史,战争",美国,"英语,希伯来语,德语,波兰语",1993-11-30,195,1187569,"80.2%,17.3%,2.1%,0.1%,0.2%"
134,林超贤,8.2,红海行动,"张译,黄景瑜,海清,杜江,蒋璐霞",2018,"动作,战争","中国大陆,中国香港","汉语普通话,阿拉伯语,英语,索马里语,粤语",2018-02-16,138,1068922,"37.6%,41.5%,17.4%,2.5%,1.0%"
135,"安东尼·罗素,乔·罗素",8.5,复仇者联盟4：终局之战,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯,马克·鲁弗洛,斯嘉丽·约翰逊",2019,"剧情,动作,科幻,奇幻,冒险",美国,"英语,日语,科萨语",2019-04-24,181,1110278,"46.2%,35.2%,15.7%,2.0%,0.9%"
136,吴京,7.1,战狼2,"吴京,弗兰克·格里罗,吴刚,张翰,卢靖姗",2017,"动作,战争",中国大陆,"汉语普通话,英语",2017-07-27,123,928602,"22.4%,32.4%,29.9%,9.3%,6.0%"
137,贝纳尔多·贝托鲁奇,9.3,末代皇帝,"尊龙,陈冲,邬君梅,彼得·奥图尔,英若诚",1987,"剧情,传记,历史","英国,意大利,中国大陆,法国","英语,汉语普通话,日语",1987-10-04,163,960562,"70.6%,25.1%,3.9%,0.3%,0.1%"
138,"柯克·德·米科,克里斯·桑德斯",8.7,疯狂原始人,"尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹,凯瑟琳·基纳,克萝丽丝·利奇曼",2013,"喜剧,动画,冒险",美国,英语,2013-04-20,98,883676,"46.6%,41.4%,11.2%,0.6%,0.1%"
139,帕特·波尼蒂帕特,8.9,姥姥的外孙,"普提蓬·阿萨拉塔纳功,乌萨·萨梅坎姆,莎琳拉·托马斯,三亚·库纳康,邦沙敦·宗威拉克",2024,剧情,泰国,"泰语,潮州话",2024-08-23,127,220981,"53.4%,37.4%,8.3%,0.6%,0.3%"
140,朱塞佩·托纳多雷,8.9,西西里的美丽传说,"莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,Luciano Federico,玛蒂尔德·皮亚纳,Pietro Notarianni",2000,"剧情,情色,战争","意大利,美国","意大利语,英语,拉丁语,古希腊语",2000-10-27,108,1040721,"55.4%,36.5%,7.4%,0.5%,0.2%"
141,达米恩·查泽雷,8.4,爱乐之城,"瑞恩·高斯林,艾玛·斯通,约翰·传奇,罗丝玛丽·德薇特,芬·维特洛克",2016,"剧情,爱情,歌舞",美国,英语,2017-02-14,128,1021724,"43.5%,37.8%,15.8%,2.2%,0.6%"
142,土井裕泰,8.6,花束般的恋爱,"菅田将晖,有村架纯,细田佳央太,清原果耶,小田切让",2021,"剧情,爱情",日本,日语,2022-02-22,124,731646,"44.7%,42.2%,11.7%,1.1%,0.4%"
143,"梁旋,张春",7.0,大鱼海棠,"季冠霖,苏尚卿,许魏洲,金士杰,杨婷",2016,"剧情,动画,奇幻",中国大陆,汉语普通话,2016-07-08,105,598813,"18.0%,32.2%,35.5%,10.3%,4.0%"
144,戈尔·维宾斯基,8.8,加勒比海盗,"约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆,凯拉·奈特莉,杰克·达文波特",2003,"动作,奇幻,冒险",美国,英语,2003-11-21,143,916789,"52.0%,38.7%,8.8%,0.5%,0.1%"
145,"彼特·道格特,罗纳尔多·德尔·卡门",8.8,头脑特工队,"艾米·波勒,菲利丝·史密斯,理查德·坎德,比尔·哈德尔,刘易斯·布莱克",2015,"喜剧,动画,冒险",美国,英语,2015-10-06,95,723008,"53.1%,36.1%,9.9%,0.7%,0.2%"
146,"李昂,刘洪源",5.7,南风知我意,"成毅,张予曦,付辛博,李欣泽,梁婧娴",2023,"剧情,爱情",中国大陆,汉语普通话,2023-09-12,61,110435,"9.9%,14.7%,37.9%,24.2%,13.3%"
147,李阳,7.4,从21世纪安全撤离,"张若昀,钟楚曦,宋洋,吴晓亮,朱颜曼滋",2024,"喜剧,科幻",中国大陆,汉语普通话,2024-08-02,98,240914,"23.4%,36.3%,28.3%,8.6%,3.4%"
148,托德·菲利普斯,8.7,小丑,"华金·菲尼克斯,罗伯特·德尼罗,马克·马龙,莎姬·贝兹,谢伊·惠格姆",2019,"剧情,惊悚,犯罪","美国,加拿大",英语,2019-08-31,122,1079619,"51.0%,37.3%,10.0%,1.1%,0.6%"
149,鲁本·弗雷斯彻,7.2,毒液：致命守护者,"汤姆·哈迪,米歇尔·威廉姆斯,里兹·阿迈德,斯科特·黑兹,瑞德·斯科特",2018,"动作,科幻,惊悚","美国,中国大陆","英语,汉语普通话",2018-11-09,112,861655,"11.8%,42.0%,40.3%,5.3%,0.7%"
150,李超,9.2,花儿与少年·丝路季,"秦海璐,秦岚,辛芷蕾,迪丽热巴,赵昭仪",2023,真人秀,中国大陆,汉语普通话,2023-10-25,67,191619,"71.2%,22.3%,4.8%,0.9%,0.7%"
151,克里斯·桑德斯,8.1,荒野机器人,"露皮塔·尼永奥,佩德罗·帕斯卡,基特·康纳,凯瑟琳·欧哈拉,比尔·奈伊",2024,"科幻,动画,冒险",美国,英语,2024-09-20,102,60902,"33.3%,43.1%,20.9%,2.3%,0.4%"
152,"彼特·道格特,凯普·鲍尔斯",8.7,心灵奇旅,"杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德,阿米尔-卡利布·汤普森,戴维德·迪格斯",2020,"动画,音乐,奇幻",美国,英语,2020-12-25,101,1064164,"48.7%,38.5%,11.9%,0.8%,0.1%"
153,凯尔西·曼,8.4,头脑特工队2,"艾米·波勒,玛雅·霍克,肯辛顿·托尔曼,莉萨·拉皮拉,托尼·海尔",2024,"剧情,喜剧,动画,奇幻,冒险",美国,英语,2024-06-21,96,253992,"38.5%,44.4%,15.8%,1.1%,0.2%"
154,"陈健喜,李佳锴",7.0,白蛇：浮生,"张喆,杨天翔,唐小喜,张赫,刘琮",2024,"喜剧,爱情,动画,奇幻",中国大陆,汉语普通话,2024-08-10,133,110987,"14.9%,35.1%,39.2%,9.1%,1.7%"
155,柯汶利,7.5,误杀,"肖央,谭卓,陈冲,姜皓文,秦沛",2019,"剧情,悬疑,犯罪",中国大陆,"汉语普通话,泰语",2019-12-13,112,933130,"15.5%,49.8%,29.8%,3.9%,0.9%"
156,克里斯托弗·诺兰,9.2,蝙蝠侠：黑暗骑士,"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,迈克尔·凯恩,玛吉·吉伦哈尔",2008,"剧情,动作,科幻,惊悚,犯罪","美国,英国","英语,汉语普通话",2008-07-14,152,1131876,"68.2%,25.6%,5.6%,0.4%,0.2%"
157,弗朗西斯·福特·科波拉,9.3,教父,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩,理查德·卡斯特尔诺,罗伯特·杜瓦尔",1972,"剧情,犯罪",美国,"英语,意大利语,拉丁语",1972-03-15,175,1038304,"72.2%,22.7%,4.5%,0.4%,0.2%"
158,"黄家康,赵霁",7.8,白蛇：缘起,"张喆,杨天翔,唐小喜,刘薇,张遥函",2019,"爱情,动画,奇幻","中国大陆,美国",汉语普通话,2019-01-11,99,793775,"23.6%,45.3%,27.3%,3.3%,0.5%"
159,赵德胤,6.0,乔妍的心事,"赵丽颖,辛芷蕾,黄觉,董宝石,安沺",2024,"剧情,悬疑",中国大陆,"汉语普通话,云南方言",2024-10-26,112,83839,"13.8%,16.5%,35.5%,23.3%,10.8%"
160,陈茂贤,8.7,破·地狱,"黄子华,许冠文,卫诗雅,朱栢康,周家怡",2024,"剧情,家庭",中国香港,粤语,2024-11-09,126,4426,"53.8%,32.4%,11.2%,1.7%,0.8%"
161,龙飞,8.0,走走停停,"胡歌,高圆圆,岳红,周野芒,金靖",2024,"剧情,喜剧,家庭",中国大陆,"汉语普通话,四川话",2024-06-08,103,269146,"26.7%,50.6%,20.1%,2.1%,0.5%"
162,辛爽,9.4,漫长的季节,"范伟,秦昊,陈明昊,李庚希,刘奕铁",2023,"剧情,家庭,犯罪",中国大陆,汉语普通话,2023-04-22,85,1047290,"76.1%,20.1%,3.2%,0.4%,0.2%"
163,蒂姆·波顿,8.7,剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特,安东尼·迈克尔·豪尔,凯西·贝克",1990,"剧情,爱情,奇幻",美国,英语,1990-12-06,105,1083067,"48.4%,39.8%,10.8%,0.8%,0.2%"
164,顾长卫,7.3,刺猬,"葛优,王俊凯,李萍,刘威葳,耿乐",2024,"剧情,喜剧,家庭","中国大陆,中国香港",汉语普通话,2024-08-23,103,255951,"17.2%,39.7%,34.8%,6.7%,1.6%"
165,大庆,4.8,逆鳞,"沈腾,张雨绮,高捷,蔡文静,曲哲明",2024,"剧情,犯罪",中国大陆,"汉语普通话,粤语",2024-08-23,112,31183,"3.9%,9.5%,34.8%,27.9%,23.9%"
166,戴墨,7.6,三大队,"张译,李晨,魏晨,曹炳琨,王骁",2023,"剧情,犯罪",中国大陆,汉语普通话,2023-12-15,132,486412,"19.2%,47.3%,29.3%,3.6%,0.7%"
167,"陈凯歌,徐克,林超贤,宁海强",7.4,长津湖,"吴京,易烊千玺,段奕宏,朱亚文,李晨",2021,"剧情,历史,战争","中国大陆,中国香港","汉语普通话,英语",2021-09-30,176,785449,"24.0%,32.9%,32.2%,8.7%,2.1%"
168,"迪恩·德布洛斯,克里斯·桑德斯",8.8,驯龙高手,"杰伊·巴鲁切尔,杰拉德·巴特勒,克雷格·费格森,亚美莉卡·费雷拉,乔纳·希尔",2010,"动画,奇幻,冒险",美国,英语,2010-05-14,98,807355,"49.2%,40.8%,9.4%,0.4%,0.1%"
169,黄东赫,9.3,熔炉,"孔刘,郑裕美,金贤秀,郑仁絮,白承焕",2011,剧情,韩国,韩语,2011-09-22,125,987253,"71.5%,24.9%,3.3%,0.2%,0.1%"
170,郑晓龙,9.4,后宫·甄嬛传,"孙俪,陈建斌,蔡少芬,李东学,蒋欣",2011,"剧情,古装",中国大陆,汉语普通话,2011-11-17,78,807406,"75.6%,20.5%,3.0%,0.3%,0.5%"
171,李安,8.7,色，戒,"梁朝伟,汤唯,陈冲,王力宏,庹宗华",2007,"剧情,爱情,情色","中国台湾,中国大陆,美国,中国香港","汉语普通话,上海话,英语,粤语,日语,印地语",2007-11-01,158,893597,"48.7%,39.2%,11.0%,0.8%,0.3%"
172,"宋阳,张吃鱼",6.8,羞羞的铁拳,"艾伦,马丽,沈腾,田雨,宋阳",2017,"喜剧,奇幻",中国大陆,汉语普通话,2017-09-30,100,740992,"11.0%,33.0%,43.3%,10.1%,2.5%"
173,"柏杉,司元甲",8.6,唐朝诡事录之西行,"杨旭文,杨志刚,郜思雯,孙雪宁,陈创",2024,"悬疑,奇幻,古装","中国大陆,新加坡",汉语普通话,2024-07-18,87,233682,"46.2%,40.1%,11.4%,1.8%,0.6%"
174,乔·赖特,8.7,傲慢与偏见,"凯拉·奈特莉,马修·麦克费登,唐纳德·萨瑟兰,布兰达·布莱斯,凯瑞·穆里根",2005,"剧情,爱情","法国,英国,美国",英语,2005-09-16,129,864933,"48.7%,39.9%,10.5%,0.8%,0.2%"
175,彼得·杰克逊,9.1,指环王1：护戒使者,"伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩,维果·莫腾森,奥兰多·布鲁姆",2001,"剧情,动作,奇幻,冒险","新西兰,美国","英语,辛达林语",2002-04-04,179,905455,"63.7%,28.7%,6.8%,0.6%,0.2%"
176,韦斯·安德森,8.9,布达佩斯大饭店,"拉尔夫·费因斯,托尼·雷沃罗利,阿德里安·布罗迪,威廉·达福,裘德·洛",2014,"剧情,喜剧,冒险","美国,德国,英国","英语,法语,德语",2014-02-06,99,1018014,"55.2%,35.9%,8.1%,0.7%,0.2%"
177,高朋,7.7,老枪,"祖峰,秦海璐,周政杰,冯雷,邵兵",2023,"剧情,犯罪",中国大陆,汉语普通话,2024-11-01,117,17270,"18.4%,51.4%,26.9%,2.7%,0.6%"
178,彼得·威尔,9.2,死亡诗社,"罗宾·威廉姆斯,罗伯特·肖恩·莱纳德,伊桑·霍克,乔西·查尔斯,盖尔·汉森",1989,剧情,美国,"英语,拉丁语",1989-06-02,128,805919,"66.3%,27.4%,5.7%,0.5%,0.2%"
179,张艺谋,9.3,活着,"葛优,巩俐,姜武,牛犇,郭涛",1994,"剧情,家庭,历史","中国大陆,中国香港",汉语普通话,1994-06-30,132,912256,"70.3%,25.4%,3.9%,0.3%,0.1%"
180,殷若昕,6.5,野孩子,"王俊凯,关子勰,邓家佳,陈永胜,潘斌龙",2024,剧情,中国大陆,汉语普通话,2024-09-13,127,156141,"15.7%,19.8%,43.0%,17.3%,4.3%"
